CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0824,Oisterwijk,North Brabant,25835,403,65,30,99,1,2,3,31,2,117,93,13,33,31,48,2,59,9,118,9,14,6
GM1895,Oldambt,Groningen,38558,172,62,12,241,1,1,3,89,10,177,26,5,36,28,35,8,148,4,201,5,12,20
GM0269,Oldebroek,Gelderland,22824,233,29,17,37,0,1,2,15,2,36,28,6,18,24,12,1,22,0,59,3,2,14
GM0173,Oldenzaal,Overijssel,32152,1493,41,15,60,0,0,1,25,7,214,60,4,59,60,22,1,33,2,124,10,3,4
GM1773,Olst-Wijhe,Overijssel,17760,155,23,10,30,0,1,1,20,1,29,12,0,12,7,1,2,10,0,42,0,2,8
GM0175,Ommen,Overijssel,17370,97,31,13,55,0,0,1,16,8,60,29,12,12,8,5,2,35,4,119,4,12,10
GM0881,Onderbanken,Limburg,7882,376,15,15,17,0,2,2,9,2,12,32,15,3,10,7,0,8,0,40,1,2,1
GM1586,Oost Gelre,Gelderland,29648,274,47,15,80,1,0,2,23,0,121,25,4,18,10,16,0,49,8,102,5,26,15
GM0826,Oosterhout,North Brabant,53733,756,77,48,269,7,7,6,126,16,283,373,48,63,87,55,6,133,10,379,10,43,25
GM0085,Ooststellingwerf,Friesland,25672,115,42,8,87,0,0,1,39,5,33,16,4,25,28,8,0,46,2,105,0,10,13
GM0431,Oostzaan,North Holland,9154,789,20,22,40,2,0,0,18,1,20,15,4,14,3,29,0,21,1,52,8,5,0
GM0432,Opmeer,North Holland,11374,274,16,7,39,1,1,1,16,3,15,58,3,8,9,2,0,21,2,41,4,0,1
GM0086,Opsterland,Friesland,29894,133,52,18,72,1,0,2,29,3,60,37,3,26,21,10,4,43,0,110,0,1,4
GM0828,Oss,North Brabant,85039,555,193,76,414,4,6,26,171,53,736,360,94,115,95,90,4,218,25,638,28,42,30
GM0584,Oud-Beijerland,South Holland,23727,1249,3,5,62,4,1,5,18,3,60,60,13,16,6,14,0,38,6,129,5,4,12
GM1509,Oude IJsselstreek,Gelderland,39614,292,48,25,105,0,0,1,27,6,113,77,10,40,27,17,2,75,3,126,5,14,7
GM0437,Ouder-Amstel,North Holland,13255,548,27,19,68,4,1,0,31,2,68,104,12,66,28,4,1,37,0,253,7,29,5
GM0589,Oudewater,Utrecht,9868,252,8,5,12,0,0,1,3,0,19,15,3,6,4,1,0,5,4,33,0,0,1
GM1734,Overbetuwe,Gelderland,46653,423,81,42,141,4,0,2,48,18,127,176,39,57,30,16,1,90,3,190,16,16,17
GM0590,Papendrecht,South Holland,32140,3380,45,16,74,5,0,4,30,11,95,114,17,25,31,10,2,42,2,202,11,13,18
GM1894,Peel en Maas,Limburg,43298,271,74,25,100,0,2,2,43,10,87,46,20,51,80,12,2,54,3,116,5,19,8
GM0765,Pekela,Groningen,12733,262,20,6,90,1,0,1,43,4,15,12,1,10,8,5,0,45,2,81,0,1,2
GM1926,Pijnacker-Nootdorp,South Holland,51068,1341,85,62,142,4,1,9,46,4,262,161,36,57,20,19,0,91,5,190,4,18,14
GM0439,Purmerend,North Holland,79552,3389,131,81,377,13,8,12,137,21,311,167,37,91,60,40,16,229,11,462,21,83,41
GM0273,Putten,Gelderland,24044,280,78,17,46,0,0,3,13,3,91,77,7,18,47,10,0,32,1,83,7,5,12
GM0177,Raalte,Overijssel,36526,214,41,9,79,4,2,4,29,2,88,37,5,43,18,8,1,48,2,106,2,9,14
GM0703,Reimerswaal,Zeeland,21915,213,33,16,49,0,0,0,26,6,87,39,7,23,11,12,0,20,3,79,2,3,8
GM0274,Renkum,Gelderland,31577,687,93,47,134,1,1,2,54,13,88,138,19,26,44,14,0,77,3,144,5,10,17
GM0339,Renswoude,Utrecht,4928,262,8,0,9,0,0,0,5,3,19,8,3,7,8,0,0,4,0,7,1,0,0
GM1667,Reusel-De Mierden,North Brabant,12728,162,21,6,43,0,0,1,12,8,25,11,5,5,26,4,0,27,4,42,0,8,4
GM0275,Rheden,Gelderland,43563,533,132,75,171,3,1,4,79,15,175,114,15,54,39,18,2,88,4,236,15,22,16
