CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0355,Zeist,Utrecht,61337,1262,204,95,275,6,5,17,95,33,402,363,25,149,120,19,4,170,10,373,10,37,31
GM0299,Zevenaar,Gelderland,32254,609,68,13,73,0,1,4,31,7,181,34,11,32,14,35,0,41,1,156,11,7,13
GM0637,Zoetermeer,South Holland,123614,3540,173,128,660,46,8,39,265,35,502,433,149,159,93,63,17,366,29,713,36,103,41
GM0638,Zoeterwoude,South Holland,8089,384,15,7,16,0,0,0,2,1,23,14,4,5,7,4,0,13,1,38,1,4,0
GM0056,Zuidhorn,Groningen,18767,149,17,5,28,0,0,0,14,0,30,9,1,16,8,5,1,13,1,48,0,1,3
GM1892,Zuidplas,South Holland,40878,685,78,37,107,0,1,1,39,13,88,110,33,35,35,15,3,62,6,160,3,9,4
GM0879,Zundert,North Brabant,21374,176,51,18,77,0,1,1,26,4,59,40,15,47,85,10,3,43,8,111,2,10,10
GM0301,Zutphen,Gelderland,47154,1150,111,35,262,6,1,9,86,16,439,123,14,99,86,39,9,170,6,376,14,49,28
GM1896,Zwartewaterland,Overijssel,22148,267,18,8,38,0,0,0,13,2,57,13,2,10,7,9,0,24,1,63,3,0,3
GM0642,Zwijndrecht,South Holland,44546,2187,80,30,169,11,4,4,67,12,285,264,42,45,46,21,0,93,9,274,12,22,17
GM0193,Zwolle,Overijssel,123211,1091,293,126,650,11,12,39,247,38,905,263,84,204,63,98,19,384,19,702,32,142,78
